date,overview,author
2026-09-11,Ocean kayaking — Red Adventures Sea Kayak Split (from €50). Half-day circuit around Marjan Hill with cliff jumping options. Departs near Split city center. Book in advance: red-adventures.com/offer/sea-kayak-split/,Claude
2026-09-11,Marjan Hill: forested hill above Split with well-marked hiking and cycling paths. 30-min walk from Old Town to the summit viewpoint at Telegrin (178m) with views over Brač and Hvar islands.,Claude
2026-09-11,Ivan Mestrovic Gallery: former home and studio of Croatia's most celebrated sculptor. Extensive collection of bronzes and marble works. 3 km west of Old Town — easier to drive than walk.,Claude
2026-09-12,Ocean kayaking — Red Adventures Southern Cliffs Kayaking Tour (€99). Full-day adventure routed away from tourist crowds — best for those wanting a more challenging day on the water. Book in advance: red-adventures.com/offer/southern-cliffs-kayaking/,Claude
2026-09-12,Trogir day trip: UNESCO-listed medieval town 30 km northwest of Split (30-min drive). Cathedral of St. Lawrence and Kamerlengo Fortress are the highlights. Can be combined with Klis on the same day.,Claude
2026-09-13,Klis Fortress (30-min drive from Split): medieval hilltop fortress above Split and a Game of Thrones filming location (Meereen). Worth a stop on the way to Trogir.,Claude
2026-09-13,Krka National Park: 90-min drive north of Split. Skradinski Buk waterfall system — one of the most impressive waterfall cascades in Europe. Buy tickets online in advance to avoid queues (krka.hr).,Claude
2026-09-14,Korčula Old Town walking tour: compact walled medieval town with a fishbone street layout designed to channel sea breeze. Cathedral of St. Mark and the narrow lanes are highlights. Free to walk; some museums charge entry.,Claude
2026-09-14,Moreška sword dance: traditional performance held Mondays and Thursdays in season at the Korčula Old Town walls. ~45-min show. Tickets available at the door or from local agencies in town.,Claude
2026-09-14,"Ocean kayaking — Lago di Korčula Half-Day Sea Kayak Tour by Korčula Outdoor Experience. 4–4.5 hours, ~4–6 nautical miles. Route circles islets of Badija and Vrnik, passing a Franciscan monastery and Roman-era quarries. Departs daily 09:00 from Spomen braniteljima Korcule 1943 (round square near pebble beach, Korčula Old Town). Confirm pricing at korcula-outdoor.com.",Claude
2026-09-15,Grk wine tasting in Lumbarda: Lumbarda is home to Grk — a white grape variety grown nowhere else in the world. Winery Bire is the most accessible; several family cellars welcome walk-in tastings. 6 km drive from Korčula Old Town.,Claude
2026-09-15,Bicycle rental: rent bikes in Korčula Town for a half-day loop on the island's quiet roads. Several rental shops near the Old Town gate. Relatively flat along the coast; hilly if you go inland.,Claude
2026-09-15,"Sunset kayaking — Lumbarda Sunset Kayaking Experience by Spirit of Korkyra. 3.5 hours, max 8 people. Departs Tatinja Bay, Lumbarda. Pickup from Korčula Old Town bus station 20 min before start. Book at spiritofkorkyra.com.",Claude
2026-09-15,Ocean kayaking — Red Adventures Sea Kayak Korčula (€50/person). Departs Tatinja Bay (Lumbarda). Explores the Korčula archipelago including Badija Island and its Franciscan monastery. Good alternative if the Lago di Korčula tour is full. Book at red-adventures.com/offer/sea-kayak-korcula/,Claude
2026-09-16,Franciscan Monastery of Our Lady of the Angels: 15th-century monastery on the hillside above Orebic with panoramic views over the Pelješac channel and Korčula island. 20-min uphill walk from town center.,Claude
2026-09-16,Trstenica Beach: fine-pebble beach 500 m from Orebic town center. Clear water with views across to Korčula. Good option for the afternoon after arriving from the ferry.,Claude
2026-09-16,"Ferry logistics — Jadrolinija Line 634 (Orebić → Dominče). ~15–20 min crossing. Dominče terminal is 3 km from Korčula Old Town — not the Old Town harbour. 20 departures/day through Sep 27. Tickets are open-dated (valid any sailing on the date). Arrive ~45 min early with the car.",Claude
2026-09-17,Divna Beach: secluded pebble cove on the northern shore of the Pelješac Peninsula. Accessible by car (last stretch is a dirt road) or small boat from Orebic. Worth the extra effort for the seclusion.,Claude
2026-09-17,Hiking — St. Elijah peak (Sveti Ilija): the landmark summit of the Pelješac Peninsula. 6 official trails totalling 39 km across the peninsula. Check current trail maps at visitorebic-croatia.hr/outdoor/hiking/ before setting out.,Claude
2026-09-17,Wine — Dingač wine road scenic drive. Croatia's most celebrated red wine appellation. Matusko Winery is the most recommended stop (booking required; cash only). Also worth exploring the neighbouring Postup appellation. Half-day drive through dramatic hillside vineyards.,Claude
2026-09-18,Ston day trip: 45-min drive east from Orebic. Walk the medieval walls (second-longest preserved walls in the world after the Great Wall of China). Fresh oysters at Mali Ston restaurants for lunch. Good preview of Sep 19's drive-through.,Claude
2026-09-18,Duba Pelješka beach: remote pebble beach on the northern shore reachable by car. Very few tourists. Combine with Divna Beach if you want a full beach-hopping day.,Claude
2026-09-18,Ocean kayaking — Korčula Adventures kayaking + snorkeling combo (€120/person; 4 hours). Pickup at Dalmatino tours agency next to Orebić ferry terminal. 5% discount when booked online. Book at korculaadventures.com.,Claude
2026-09-19,Lokrum Island: 10-min ferry from Dubrovnik Old Town harbour (runs frequently in season). National park — peacocks roam freely. Botanical garden. Dead Sea salt lake for swimming. Benedictine monastery ruins. No overnight stays.,Claude
2026-09-19,"Ston stop — walk the medieval city walls of Ston (among the longest preserved walls in Europe). Try fresh oysters at Mali Ston restaurants — shellfish farmed right in the bay. Kapetanova kuća is the most well-known seafood spot in town.",Claude
2026-09-20,Dubrovnik city walls walk: 2 km circuit atop the medieval walls. Best done early morning (opens 08:00) to avoid heat and crowds. Ticket ~€35 (includes Fort Lovrijenac). One of the most iconic walks in the Adriatic.,Claude
2026-09-20,Srdj Hill cable car: 4-min gondola ride to 412m above Dubrovnik. Panoramic views over the Old Town and islands. Also driveable if you have the car — road up takes about 15 min.,Claude
2026-09-20,Elaphiti Islands boat tour: full-day trip to Sipan and Lopud islands from Gruž harbour. Half-day options also available. Quieter and more local than the Dubrovnik Old Town.,Claude
2026-09-20,"Ocean kayaking — Adventure Dubrovnik Sea Kayaking and Snorkeling Tour. Meet at Brsalje ul. 5, 20000 Dubrovnik (Pile Tourist Information Center, outside Pile Gate). Arrive 20 min early. Look for the GREEN umbrella — there is a competing operator at the same spot with an orange umbrella.",Claude
2026-09-20,Ocean kayaking — DSK Dubrovnik Sea Kayaking (from €35/person). 2-hour tour with snorkeling at Betina cave. Includes safety briefing and paddling instruction. Book at dubrovnikseakayaking.com.,Claude
2026-09-21,War Photo Limited: Dubrovnik gallery dedicated to war photography. Compact and impactful — about 1 hour. Located near Stradun (main street of Old Town). One of the most distinctive museums in the Adriatic.,Claude
2026-09-21,Lokrum Island: last chance if not done on Sep 19 or 20. Ferry from Old Town harbour. Check last return ferry time — it stops running in the evening.,Claude
2026-09-22,Dubrovnik Airport is 20 km south of the Old Town. Allow 30–45 min by car. Return rental cars directly at the airport terminal lots — off-airport lots add significant transfer time.,Claude
